act,sid,start,end,dur,narration,on_screen_text,screen_direction,camera_note,designer_wanted,now_is,plate_file,narration_from_audio
ACT1-2,A1-11,1:09.00,1:13.00,4.0,"유망한 산업, 좋은 회사, 인기 있는 직무를 검색합니다. / 물론 필요한 정보입니다. / 다만 그 정보만으로는 나에게 맞는 다음을 고르기 어렵습니다.",,,bridge to 76.76 — evaluation rows multiply as grey bars,생성영상,생성영상,ACT1-2_150s/05_t076.76s_x4cuts.png,"유망한 산업, 좋은 회사, 인기 있는 직무를 검색합니다. / 물론 필요한 정보입니다. / 다만 그 정보만으로는 나에게 맞는 다음을 고르기 어렵습니다."
ACT1-2,A1-12,1:13.00,1:16.76,3.76,다만 그 정보만으로는 나에게 맞는 다음을 고르기 어렵습니다.,,,conclusion — retreat into a left/right comparison,생성영상,생성영상,ACT1-2_150s/05_t076.76s_x4cuts.png,다만 그 정보만으로는 나에게 맞는 다음을 고르기 어렵습니다.
ACT1-2,A1-13,1:16.76,1:20.50,3.74,외부 정보는 선택지를 보여주지만 내 경험은 선택 기준을 보여주기 때문입니다.,,,외부 정보는 선택지를 보여주지만 내 경험은 선택 기준을 보여줍니다 — cross the boundary,생성영상,생성영상,ACT1-2_150s/05_t076.76s_x4cuts.png,외부 정보는 선택지를 보여주지만 내 경험은 선택 기준을 보여주기 때문입니다.
ACT1-2,A1-14,1:20.50,1:22.08,1.58,외부 정보는 선택지를 보여주지만 내 경험은 선택 기준을 보여주기 때문입니다.,,,"short retreat, both sides and the key light hold",생성영상,생성영상,ACT1-2_150s/05_t076.76s_x4cuts.png,외부 정보는 선택지를 보여주지만 내 경험은 선택 기준을 보여주기 때문입니다.
ACT1-2,A1-15,1:22.08,1:25.06,2.98,이제 직함보다 반복한 역할을 봅니다.,,,이제 직함보다 반복한 역할을 봅니다 — repeated bars glow between layers,생성영상,생성영상,ACT1-2_150s/06_t082.08s_x2cuts.png,이제 직함보다 반복한 역할을 봅니다.
ACT1-2,A1-16,1:25.06,1:30.00,4.94,"첫 번째 기준은 반복해서 맡아온 역할입니다. / 같은 마케터라도 누군가는 복잡한 정보를 정리하는 일을 자주 맡고,",,,"첫 번째 기준은 반복해서 맡아온 역할입니다 — deep zoom, then retreat",생성영상,생성영상,ACT1-2_150s/06_t082.08s_x2cuts.png,"첫 번째 기준은 반복해서 맡아온 역할입니다. / 같은 마케터라도 누군가는 복잡한 정보를 정리하는 일을 자주 맡고,"
ACT1-2,A2-01,1:30.00,1:34.00,4.0,"같은 마케터라도 누군가는 복잡한 정보를 정리하는 일을 자주 맡고, / 누군가는 여러 사람의 의견을 모아 결론을 만드는 일을 자주 맡습니다.",,,reset to the whole desk,생성영상,생성영상,ACT1-2_150s/07_t085.06s_x2cuts.png,"같은 마케터라도 누군가는 복잡한 정보를 정리하는 일을 자주 맡고, / 누군가는 여러 사람의 의견을 모아 결론을 만드는 일을 자주 맡습니다."
ACT1-2,A2-02,1:34.00,1:38.00,4.0,"누군가는 여러 사람의 의견을 모아 결론을 만드는 일을 자주 맡습니다. / 개발자, 디자이너, 영업 담당자도 마찬가지입니다.",,,bridge to 101.22 — dolly across identical title bands,생성영상,생성영상,ACT1-2_150s/07_t085.06s_x2cuts.png,"누군가는 여러 사람의 의견을 모아 결론을 만드는 일을 자주 맡습니다. / 개발자, 디자이너, 영업 담당자도 마찬가지입니다."
ACT1-2,A2-03,1:38.00,1:41.22,3.22,"개발자, 디자이너, 영업 담당자도 마찬가지입니다.",,,conclusion — retreat until two cross-sections share the frame,생성영상,생성영상,ACT1-2_150s/08_t101.22s_x2cuts.png,"개발자, 디자이너, 영업 담당자도 마찬가지입니다."
ACT1-2,A2-04,1:41.22,1:44.32,3.1,직함은 같아도 반복되는 역할은 다릅니다.,,,직함은 같아도 반복되는 역할은 다릅니다 — pierce the identical band,생성영상,생성영상,ACT1-2_150s/08_t101.22s_x2cuts.png,직함은 같아도 반복되는 역할은 다릅니다.
ACT1-2,A2-05,1:44.32,1:49.00,4.68,종이에 최근 3년간 기억나는 프로젝트 3개를 적어보세요. / 큰 성과가 있었던 프로젝트일 필요는 없습니다.,,3,종이에 최근 3년간 기억나는 프로젝트 3개를 적어보세요 — EXACTLY three,생성영상,생성영상,ACT1-2_150s/09_t104.32s_x12cuts.png,종이에 최근 3년간 기억나는 프로젝트 3개를 적어보세요. / 큰 성과가 있었던 프로젝트일 필요는 없습니다.
ACT1-2,A2-06,1:49.00,1:53.00,4.0,큰 성과가 있었던 프로젝트일 필요는 없습니다. / 내가 비교적 선명하게 기억하는 일이라면 충분합니다.,,3,"overhead arc, P1/P2/P3 positions fixed",생성영상,생성영상,ACT1-2_150s/09_t104.32s_x12cuts.png,큰 성과가 있었던 프로젝트일 필요는 없습니다. / 내가 비교적 선명하게 기억하는 일이라면 충분합니다.
ACT1-2,A2-07,1:53.00,1:56.50,3.5,내가 비교적 선명하게 기억하는 일이라면 충분합니다. / 각 프로젝트 옆에 그 일에서 나는 주로 무엇을 했는지 적습니다.,,3,macro pass over the abstract title/body bars,생성영상,생성영상,ACT1-2_150s/09_t104.32s_x12cuts.png,내가 비교적 선명하게 기억하는 일이라면 충분합니다. / 각 프로젝트 옆에 그 일에서 나는 주로 무엇을 했는지 적습니다.
ACT1-2,A2-08,1:56.50,1:59.62,3.12,각 프로젝트 옆에 그 일에서 나는 주로 무엇을 했는지 적습니다.,,3,retreat to the whole — a fourth card must not enter,생성영상,생성영상,ACT1-2_150s/09_t104.32s_x12cuts.png,각 프로젝트 옆에 그 일에서 나는 주로 무엇을 했는지 적습니다.
ACT1-2,A2-09,1:59.62,2:01.86,2.24,명사보다 동사로 써보세요.,명사보다 동사로 써보세요,,glass panel hold — 1.2% diagonal push,정지+카메라,정지+카메라,ACT1-2_150s/10_t119.62s_x1cuts.png,명사보다 동사로 써보세요.
ACT1-2,A2-10,2:01.86,2:03.86,2.0,흩어진 정보를 정리했다.,,3,흩어진 정보를 정리했다 — pierce one emphasis bar on P1,생성영상,생성영상,ACT1-2_150s/09_t104.32s_x12cuts.png,흩어진 정보를 정리했다.
ACT1-2,A2-11,2:03.86,2:06.02,2.16,사람들의 의견을 조율했다.,,3,"사람들의 의견을 조율했다 — P2, independent cut, depth reset",생성영상,생성영상,ACT1-2_150s/09_t104.32s_x12cuts.png,사람들의 의견을 조율했다.
ACT1-2,A2-12,2:06.02,2:08.04,2.02,문제의 원인을 찾아냈다.,,3,"문제의 원인을 찾아냈다 — P3, same grammar",생성영상,생성영상,ACT1-2_150s/09_t104.32s_x12cuts.png,문제의 원인을 찾아냈다.
ACT1-2,A2-13,2:08.04,2:10.32,2.28,처음 하는 사람도 이해하도록 설명했다. / 막힌 일을 다시 움직이게 했다.,,3,처음 하는 사람도 이해하도록 설명했다 — bars rise from raw sheet to summary height,생성영상,생성영상,ACT1-2_150s/09_t104.32s_x12cuts.png,처음 하는 사람도 이해하도록 설명했다. / 막힌 일을 다시 움직이게 했다.
ACT1-2,A2-14,2:10.32,2:12.48,2.16,막힌 일을 다시 움직이게 했다.,,3,막힌 일을 다시 움직이게 했다 — three bars align without merging,생성영상,생성영상,ACT1-2_150s/09_t104.32s_x12cuts.png,막힌 일을 다시 움직이게 했다.
ACT1-2,A2-15,2:12.48,2:16.32,3.84,선택한 3개의 프로젝트에서 반복된 동사가 있나요?,선택한 3개의 프로젝트에서 반복된 동사가 있나요?,,glass panel hold — three sheets stay visible beneath,정지+카메라,정지+카메라,ACT1-2_150s/11_t132.48s_x1cuts.png,선택한 3개의 프로젝트에서 반복된 동사가 있나요?
ACT1-2,A2-16,2:16.32,2:19.10,2.78,있다면 첫 번째 기준 문장을 이렇게 완성합니다.,,3,첫 번째 기준 문장을 이렇게 완성합니다 — left→centre→right causal glow,생성영상,생성영상,ACT1-2_150s/09_t104.32s_x12cuts.png,있다면 첫 번째 기준 문장을 이렇게 완성합니다.
ACT1-2,A2-17,2:19.10,2:24.00,4.9,"""나는 이런 역할을 맡을 때 내 경험을 잘 활용한다."" / 예를 들면 ""나는 복잡한 정보를 정리해 사람들이 결정하도록 돕는 역할을 맡을 때 내 경험을 잘 활용한다.""",나는 이런 역할을 맡을 때 내 경험을 잘 활용한다,,"glass panel hold — 1.5% pull-back, the criterion sentence lands",정지+카메라,정지+카메라,ACT1-2_150s/12_t139.10s_x1cuts.png,"""나는 이런 역할을 맡을 때 내 경험을 잘 활용한다."" / 예를 들면 ""나는 복잡한 정보를 정리해 사람들이 결정하도록 돕는 역할을 맡을 때 내 경험을 잘 활용한다."""
ACT1-2,A2-18,2:24.00,2:28.00,4.0,"예를 들면 ""나는 복잡한 정보를 정리해 사람들이 결정하도록 돕는 역할을 맡을 때 내 경험을 잘 활용한다.""",,3,no panel after the cut; three emphasis bars read as one role pattern,생성영상,생성영상,ACT1-2_150s/09_t104.32s_x12cuts.png,"예를 들면 ""나는 복잡한 정보를 정리해 사람들이 결정하도록 돕는 역할을 맡을 때 내 경험을 잘 활용한다."""
ACT1-2,A2-19,2:28.00,2:30.00,2.0,"예를 들면 ""나는 복잡한 정보를 정리해 사람들이 결정하도록 돕는 역할을 맡을 때 내 경험을 잘 활용한다.""",,3,"ACT2 conclusion / ACT3 handoff — 4% retreat, settle",생성영상,생성영상,ACT1-2_150s/09_t104.32s_x12cuts.png,"예를 들면 ""나는 복잡한 정보를 정리해 사람들이 결정하도록 돕는 역할을 맡을 때 내 경험을 잘 활용한다."""
