act,sid,start,end,dur,narration,on_screen_text,screen_direction,camera_note,designer_wanted,now_is,plate_file,narration_from_audio
ACT3-8,A3-11,3:15.48,3:20.84,5.36,내가 결정할 수 있는 범위가 어느 정도일 때 편안했는지도 봅니다.,,셋째 행만 추가. 승인 도장 칸과 자율 메모 여백의 크기가 다른 두 양식.,관통 — 셋째 칸의 의사결정 메모에서 승인 보드까지 짧은 push-through | 좋고 나쁨 체크 금지,생성영상,정지+카메라,ACT3-8_350s/06_Q06_x2cuts.png,내가 결정할 수 있는 범위가 어느 정도일 때 편안했는지도 봅니다.
ACT3-8,A3-12,3:20.84,3:22.50,1.66,정답은 없습니다.,정답은 없습니다,세 행의 색·밝기가 동일해지고 카메라 정지.,정지 — 두 공간과 3칸 비교 whole을 0% 이동으로 유지 | 패널 장식 없음,생성영상,정지+카메라,ACT3-8_350s/07_P07_x1cuts.png,정답은 없습니다.
ACT3-8,A3-13,3:22.50,3:26.70,4.2,중요한 것은 나에게 필요한 조건을 과장 없이 알아보는 것입니다.,,비교표 옆 빈 조건 카드 한 장. 손이 과장된 컬러 스티커를 떼고 중성 카드만 남김.,후퇴 — 과장 없이 조건 전체를 보도록 4% pull-back | 진단·점수 금지,생성영상,정지+카메라,ACT3-8_350s/06_Q06_x2cuts.png,중요한 것은 나에게 필요한 조건을 과장 없이 알아보는 것입니다.
ACT3-8,A3-14,3:26.70,3:28.98,2.28,두 번째 문장을 완성해 보세요.,,조건 카드 위 굵은 제목 바 1개와 빈 본문 바 1개.,도착 — 빈 실제 종이의 한 줄 회색 바와 책상에 안착 | 문장 내용 선행 금지,생성영상,정지+카메라,ACT3-8_350s/08_S08_x2cuts.png,두 번째 문장을 완성해 보세요.
ACT3-8,A3-15,3:28.98,3:33.10,4.12,나는 이런 방식으로 일할 수 있는 환경에서 더 꾸준히 기여한다.,,손이 본문 위치에 중간회색 바를 한 줄 채움.,정지 — “나는 이런 방식으로 일할 수 있는 환경에서 더 꾸준히 기여한다” 패널에 1.2% pixel-safe push | 읽히는 글자 금지,정지+카메라,정지+카메라,ACT3-8_350s/08_S08_x2cuts.png,나는 이런 방식으로 일할 수 있는 환경에서 더 꾸준히 기여한다.
ACT3-8,A3-16,3:33.10,3:40.06,6.96,"예를 들면, 나는 목적을 공유받고 실행 방식은 스스로 설계할 수 있는 환경에서 더 꾸준히 기여한다.",,회의 브리프 1장과 옆의 개인 설계 노트. 브리프 목표칸과 노트 실행칸을 각각 컬러 바로 강조.,관통 — 패널 없는 사무실 단면에서 공유 목표 문서→자율 실행 책상을 실제 동선으로 연결 | 전달문구 생성 금지,생성영상,정지+카메라,ACT3-8_350s/09_S09_x7cuts.png,"예를 들면, 나는 목적을 공유받고 실행 방식은 스스로 설계할 수 있는 환경에서 더 꾸준히 기여한다."
ACT3-8,A3-17,3:40.06,3:45.44,5.38,다음 선택에서 회사 이름이나 연봉만 볼 때 빠지기 쉬운 것이 바로 이 문장입니다.,,회사명·급여칸이 있는 채용공고 위에 조건 카드가 함께 놓임. 카메라 후퇴.,후퇴 — 회사명·보상 회색 바보다 공간 조건 전체가 보이도록 5% pull-back | 회사명·금액 읽힘 금지,생성영상,정지+카메라,ACT3-8_350s/09_S09_x7cuts.png,다음 선택에서 회사 이름이나 연봉만 볼 때 빠지기 쉬운 것이 바로 이 문장입니다.
ACT3-8,A4-01,3:45.44,3:48.38,2.94,이제 남기고 싶은 변화를 봅니다.,남기고 싶은 변화,사무실 단면 위층의 결과 보관 서가로 수직 상승.,도착 — 실제 업무 결과물이 놓인 협업 테이블로 dolly-in | 추상 빛길 금지,생성영상,정지+카메라,ACT3-8_350s/10_P10_x1cuts.png,이제 남기고 싶은 변화를 봅니다.
ACT3-8,A4-02,3:48.38,3:51.64,3.26,세 번째 기준은 내가 남기고 싶은 변화입니다.,,서가 앞 빈 세 번째 기준 카드에 도착.,도착 — 결과물 뒤 사람·업무 흐름이 보이는 벽 절개 whole에 안착 | 내용 선행 금지,생성영상,정지+카메라,ACT3-8_350s/09_S09_x7cuts.png,세 번째 기준은 내가 남기고 싶은 변화입니다.
ACT3-8,A4-03,3:51.64,3:55.92,4.28,거창한 사명이나 평생의 목표를 정하자는 이야기가 아닙니다.,,거대한 비전보드가 아니라 작은 완료 문서·사용 흔적·감사 메모가 놓인 선반.,후퇴 — 과장된 상징 없이 평범한 사무실과 실제 산출물을 함께 보이게 4% pull-back | 종교·영웅·우주 은유 금지,생성영상,정지+카메라,ACT3-8_350s/09_S09_x7cuts.png,거창한 사명이나 평생의 목표를 정하자는 이야기가 아닙니다.
ACT3-8,A4-04,3:55.92,4:02.20,6.28,지금까지 일하며 뿌듯했던 장면에서 내가 어떤 변화를 중요하게 여겼는지 확인하는 것입니다.,,과거 프로젝트 폴더 3개를 펼치고 한 폴더에 손이 멈춤.,관통 — 과거 업무 장면의 원자료 서랍→완료 결과물 테이블로 카메라 관통 | 미래 예언 금지,생성영상,생성영상,ACT3-8_350s/09_S09_x7cuts.png,지금까지 일하며 뿌듯했던 장면에서 내가 어떤 변화를 중요하게 여겼는지 확인하는 것입니다.
ACT3-8,A4-05,4:02.20,4:06.74,4.54,최근 몇 년 사이 이건 해내서 다행이라고 느낀 장면 하나를 고르세요.,,세 폴더 중 하나만 중앙으로 옮기고 나머지는 옆에 둠.,도착 — 최근 몇 년의 실제 프로젝트 사진·문서 중 한 장면에 안착 | 선택 이유 텍스트 금지,생성영상,정지+카메라,ACT3-8_350s/09_S09_x7cuts.png,최근 몇 년 사이 이건 해내서 다행이라고 느낀 장면 하나를 고르세요.
ACT3-8,A4-06,4:06.74,4:09.92,3.18,그리고 성과 수치보다 먼저 세 가지를 씁니다.,,선택 폴더 위 빈 3행 기록지. 숫자 그래프는 뒤집어 놓음.,도착 — 실제 종이의 빈 3구획 전체가 정확히 보이도록 top-down 정렬 | 세 행 아직 비움,생성영상,정지+카메라,ACT3-8_350s/09_S09_x7cuts.png,그리고 성과 수치보다 먼저 세 가지를 씁니다.
ACT3-8,A4-07,4:09.92,4:18.34,8.42,"이전에는 어떤 상태였는지, 내가 한 일은 무엇이었는지, 이후에 사람이나 일이 어떻게 달라졌는지 적습니다.",,3행이 위→아래 순서로 회색 바 하나씩 채워짐: 이전/행동/이후. 큐 안에서 3단 순차.,관통 — 첫 구획(이전 상태)→둘째(내 행동)→셋째(이후 변화)를 말 순서대로 한 번 통과 | 동시 노출 금지; 색은 1행 시안·2행 페일옐로·3행 세이지 소량,생성영상,정지+카메라,ACT3-8_350s/11_Q11_x1cuts.png,"이전에는 어떤 상태였는지, 내가 한 일은 무엇이었는지, 이후에 사람이나 일이 어떻게 달라졌는지 적습니다."
ACT3-8,A4-08,4:18.34,4:23.06,4.72,"예를 들어, 이전에는 팀마다 자료가 흩어져 같은 질문이 반복됐습니다.",,여러 책상에 흩어진 서류 묶음과 중복 질문 메모.,도착 — 흩어진 실제 자료가 보이는 여러 책상 whole에 안착 | 혼란 과장 금지,생성영상,정지+카메라,ACT3-8_350s/12_S12_x5cuts.png,"예를 들어, 이전에는 팀마다 자료가 흩어져 같은 질문이 반복됐습니다."
ACT3-8,A4-09,4:23.06,4:27.40,4.34,나는 자료를 한 문서로 정리하고 사용 순서를 만들었습니다.,,손이 흩어진 서류를 한 바인더와 순서 탭 3개로 정리.,관통 — 분산 문서를 한 실제 문서철로 모으고 사용 순서를 따라 dolly | 자동화·AI 마법 금지,생성영상,정지+카메라,ACT3-8_350s/12_S12_x5cuts.png,나는 자료를 한 문서로 정리하고 사용 순서를 만들었습니다.
ACT3-8,A4-10,4:27.40,4:31.98,4.58,이후에는 새로운 사람도 필요한 정보를 스스로 찾을 수 있었습니다.,,새 사람이 바인더 목차를 따라 필요한 페이지를 찾는 손 동작.,관통 — 새 사람이 문서철을 열고 필요한 회색 바 위치까지 도달하는 경로 | 얼굴·개인정보 금지,생성영상,정지+카메라,ACT3-8_350s/12_S12_x5cuts.png,이후에는 새로운 사람도 필요한 정보를 스스로 찾을 수 있었습니다.
ACT3-8,A4-11,4:31.98,4:36.26,4.28,여기서 중요한 것은 문서를 만들었다는 사실만이 아닙니다.,,바인더만 보던 카메라가 뒤로 물러나 사용하는 사람과 책상을 함께 보여줌.,후퇴 — 문서 자체와 주변의 바뀐 업무 흐름이 함께 보이도록 5% pull-back | 문서 미화 금지,생성영상,정지+카메라,ACT3-8_350s/12_S12_x5cuts.png,여기서 중요한 것은 문서를 만들었다는 사실만이 아닙니다.
ACT3-8,A4-12,4:36.26,4:40.16,3.9,사람들이 스스로 움직일 수 있게 됐다는 변화일 수 있습니다.,,사람마다 바인더를 찾아 각자 작업으로 돌아가는 사무실 단면.,관통 — 중앙 도움 요청 지점→각자 움직이는 여러 실제 책상으로 lateral track | 연결 광선 금지,생성영상,정지+카메라,ACT3-8_350s/12_S12_x5cuts.png,사람들이 스스로 움직일 수 있게 됐다는 변화일 수 있습니다.
ACT3-8,A4-13,4:40.16,4:42.74,2.58,세 번째 문장을 완성합니다.,,세 번째 기준 카드와 빈 한 줄에 카메라 도착.,도착 — 빈 실제 종이의 한 줄 회색 바에 안착 | 선행 채움 금지,생성영상,정지+카메라,ACT3-8_350s/13_S13_x1cuts.png,세 번째 문장을 완성합니다.
ACT3-8,A4-14,4:42.74,4:46.06,3.32,나는 일을 하며 의미 있는 변화를 남기고 싶다.,,한 줄 회색 바가 채워지고 정지.,정지 — “나는 일을 하며 의미 있는 변화를 남기고 싶다” 패널에 1.2% push | 읽히는 본문 금지,정지+카메라,정지+카메라,ACT3-8_350s/14_Q14_x1cuts.png,나는 일을 하며 의미 있는 변화를 남기고 싶다.
ACT3-8,A4-15,4:46.06,4:53.28,7.22,"예를 들면, 나는 사람들이 복잡한 정보를 이해하고 스스로 결정할 수 있게 되는 변화를 남기고 싶다.",,"복잡한 서류 더미가 한 장의 안내 순서표로 정리되고, 손이 두 선택지 중 하나를 직접 고름.",관통 — 복잡한 정보 문서→이해된 회색 바 요약→독립 결정 행동을 현실 책상 3단으로 이동 | 정답 체크·선동 금지,생성영상,생성영상,ACT3-8_350s/15_S15_x1cuts.png,"예를 들면, 나는 사람들이 복잡한 정보를 이해하고 스스로 결정할 수 있게 되는 변화를 남기고 싶다."
ACT3-8,A5-01,4:53.28,4:55.98,2.7,세 문장을 실제 선택에 놓아봅니다.,,역할·방식·변화 카드 3장이 한 채용공고 옆으로 이동.,도착 — 세 문장에 대응하는 실제 종이 3장을 채용 공고 옆에 정렬 | 세 카드 동일 위계,생성영상,정지+카메라,ACT3-8_350s/16_S16_x2cuts.png,세 문장을 실제 선택에 놓아봅니다.
ACT3-8,A5-02,4:55.98,4:58.22,2.24,이제 세 문장이 생겼습니다.,,카드 3장이 수직으로 정렬되고 카메라 안착.,후퇴 — 세 문장 종이 3장 전체를 한눈에 보이게 3% pull-back | 추가 카드 금지,생성영상,정지+카메라,ACT3-8_350s/16_S16_x2cuts.png,이제 세 문장이 생겼습니다.
ACT3-8,A5-03,4:58.22,5:04.78,6.56,"내가 반복해서 맡아온 역할, 내가 꾸준히 기여할 수 있는 방식, 내가 남기고 싶은 변화.",,첫째→둘째→셋째 카드에 컬러 바가 순차 점등. 마지막에 세 장 전체 조망.,관통 — 역할 종이→방식 종이→변화 종이를 나레이션 순서대로 횡단 | 동시 선행 금지; 세 카드 외 정보 제거,생성영상,정지+카메라,ACT3-8_350s/17_Q17_x10cuts.png,"내가 반복해서 맡아온 역할, 내가 꾸준히 기여할 수 있는 방식, 내가 남기고 싶은 변화."
ACT3-8,A5-04,5:04.78,5:10.62,5.84,이 문장들은 자기소개 문구로 끝나는 것이 아니라 선택지를 비교하는 도구가 됩니다.,,세 카드가 채용공고 2장 사이의 실제 비교 열로 재배치.,관통 — 세 종이에서 실제 공고의 세 추상 회색바 비교 위치로 이동 | 자기소개용 장식 카드 금지,생성영상,정지+카메라,ACT3-8_350s/17_Q17_x10cuts.png,이 문장들은 자기소개 문구로 끝나는 것이 아니라 선택지를 비교하는 도구가 됩니다.
ACT3-8,A5-05,5:10.62,5:13.82,3.2,관심 있는 채용 공고나 제안 하나를 열어보세요.,,실제 노트북 화면 대신 인쇄된 공고 한 장을 펼침.,도착 — 실제 채용 공고 한 장이 책상 위 열리는 위치에 dolly-in | 공고 본문 회색 바,생성영상,정지+카메라,ACT3-8_350s/17_Q17_x10cuts.png,관심 있는 채용 공고나 제안 하나를 열어보세요.
ACT3-8,A5-06,5:13.82,5:17.06,3.24,그리고 각 기준 옆에 세 가지 표시를 합니다.,,세 기준 옆에 빈 상태표 열 3개가 나타남.,도착 — 각 기준 옆 빈 3상태 물성 표식을 top-down으로 정렬 | 상태 표시는 아직 비움,생성영상,정지+카메라,ACT3-8_350s/17_Q17_x10cuts.png,그리고 각 기준 옆에 세 가지 표시를 합니다.
ACT3-8,A5-07,5:17.06,5:21.54,4.48,"확인됨, 더 물어봐야 함, 맞지 않을 가능성이 있음.",,"첫 상태 ‘확인됨’ 칸만 세이지 바, 이어 둘째 페일옐로, 셋째 코랄이 발화 순서대로 나타남.","관통 — 확인/질문/불일치 가능성의 세 물성 표식을 차례로 통과, 읽히는 글자 없음 | 동시 노출 금지; 아이콘·글자 금지",생성영상,정지+카메라,ACT3-8_350s/17_Q17_x10cuts.png,"확인됨, 더 물어봐야 함, 맞지 않을 가능성이 있음."
ACT3-8,A5-08,5:21.54,5:31.06,9.52,"예를 들어 공고에 주도적으로 프로젝트를 이끈다고 쓰여 있다면, 내가 원하는 자율성과 같은 뜻인지 바로 단정하지 않습니다.",,공고의 굵은 제목 바 옆에 물음표 대신 빈 질문 카드가 놓임. 상태는 페일옐로 유지.,관통 — 공고의 ‘주도’ 추상 강조 바에서 자율성 기준 종이까지 이동하되 즉시 합치지 않음 | 실제 물음표 아이콘도 최소화; 단정 체크 금지,생성영상,정지+카메라,ACT3-8_350s/17_Q17_x10cuts.png,"예를 들어 공고에 주도적으로 프로젝트를 이끈다고 쓰여 있다면, 내가 원하는 자율성과 같은 뜻인지 바로 단정하지 않습니다."
ACT3-8,A5-09,5:31.06,5:36.02,4.96,면접에서 목표와 실행 방식은 누가 정하는지 물어볼 항목으로 바꿉니다.,,질문 카드가 면접 노트의 빈 질문 행으로 이동.,관통 — 목표 결정 주체와 실행 방식 제안 범위를 나타내는 실제 면접 메모 두 칸을 순차 이동 | 질문 본문 회색 바,생성영상,정지+카메라,ACT3-8_350s/17_Q17_x10cuts.png,면접에서 목표와 실행 방식은 누가 정하는지 물어볼 항목으로 바꿉니다.
ACT3-8,A5-10,5:36.02,5:39.72,3.7,선택 기준은 정답을 대신 내려주는 공식이 아닙니다.,"정답 공식이 아니라, 더 좋은 질문",계산기·점수표를 프레임 밖으로 치우고 세 기준 카드만 남김.,후퇴 — 공식처럼 닫히지 않도록 공고·기준·질문 전체를 5% pull-back | 패널 Ken Burns; 점수 금지,생성영상,정지+카메라,ACT3-8_350s/18_P18_x1cuts.png,선택 기준은 정답을 대신 내려주는 공식이 아닙니다.
ACT3-8,A5-11,5:39.72,5:43.80,4.08,더 구체적으로 보고 더 좋은 질문을 하게 하는 도구입니다.,,세 기준→공고→면접노트의 실물 순서를 한 프레임에 후퇴 조망.,관통 — 공고 세부 회색바→질문 메모의 구체 항목으로 짧은 push-through | 화살표·광선 대신 물리 배치,생성영상,정지+카메라,ACT3-8_350s/17_Q17_x10cuts.png,더 구체적으로 보고 더 좋은 질문을 하게 하는 도구입니다.
ACT3-8,A5-12,5:43.80,5:47.92,4.12,오늘 만든 문장도 완성본이라고 생각하지 않아도 됩니다.,,"세 카드의 연필 초안 흔적과 지우개, 여백.",후퇴 — 완성품처럼 고정하지 않고 연필 수정 흔적이 있는 실제 초안 whole로 복귀 | 완벽함·인증 도장 금지,생성영상,정지+카메라,ACT3-8_350s/17_Q17_x10cuts.png,오늘 만든 문장도 완성본이라고 생각하지 않아도 됩니다.
ACT3-8,A5-13,5:47.92,5:50.96,3.04,실제 선택지에 대입하며 고치면 됩니다.,,손이 한 카드의 회색 바 길이를 지우고 다시 씀.,관통 — 실제 선택지 옆에서 한 회색 바가 수정되는 동선을 따라 짧게 이동 | 읽히는 글자 금지,생성영상,정지+카메라,ACT3-8_350s/17_Q17_x10cuts.png,실제 선택지에 대입하며 고치면 됩니다.
ACT3-8,A5-14,5:50.96,5:53.50,2.54,처음의 빈칸을 다시 펼쳐봅니다.,,ACT0의 빈 종이 원자료가 같은 구도·재질로 책상 위에 재등장.,도착 — 처음의 빈칸 종이를 다시 펼친 top-down whole에 안착 | 새 빈칸 디자인 금지; ACT0 앵커와 시각 일치,생성영상,정지+카메라,ACT3-8_350s/19_S19_x4cuts.png,처음의 빈칸을 다시 펼쳐봅니다.
ACT3-8,A6-01,5:53.50,5:56.24,2.74,오늘 한 일을 다시 정리해 보겠습니다.,,빈칸 위에 세 기준 카드가 나란히 놓이고 카메라 정지.,후퇴 — 빈칸과 세 기준 종이를 함께 보이는 recap whole | 새 정보 금지,생성영상,정지+카메라,ACT3-8_350s/19_S19_x4cuts.png,오늘 한 일을 다시 정리해 보겠습니다.
ACT3-8,A6-02,5:56.24,6:04.20,7.96,"경력이 쌓였는데 다음이 보이지 않을 때, 미래만 더 오래 검색하기보다 이미 지나온 경험에서 세 가지를 확인합니다.",,창밖 미래 이미지가 아니라 책상 위 과거 프로젝트 폴더 3개를 다시 펼침. 카메라 아래로 하강.,관통 — 미래 검색 화면은 배경으로 밀고 지나온 경험 종이 3장으로 카메라 이동 | 검색창·예언 이미지 금지,생성영상,정지+카메라,ACT3-8_350s/19_S19_x4cuts.png,"경력이 쌓였는데 다음이 보이지 않을 때, 미래만 더 오래 검색하기보다 이미 지나온 경험에서 세 가지를 확인합니다."
ACT3-8,A6-03,6:04.20,6:06.90,2.7,나는 어떤 역할을 반복해 왔는가?,,첫 기준 카드만 중앙에 도착.,도착 — 역할 종이의 반복 행동 회색 바에 안착 | 2·3카드 비활성,생성영상,정지+카메라,ACT3-8_350s/19_S19_x4cuts.png,나는 어떤 역할을 반복해 왔는가?
ACT3-8,A6-04,6:06.90,6:09.68,2.78,어떤 방식에서 꾸준히 기여하는가?,,둘째 카드만 추가 활성.,도착 — 방식 종이의 작업환경 단면에 같은 렌즈로 안착 | 3카드 비활성,생성영상,정지+카메라,ACT3-8_350s/20_Q20_x1cuts.png,어떤 방식에서 꾸준히 기여하는가?
ACT3-8,A6-05,6:09.68,6:12.62,2.94,일을 하며 어떤 변화를 남기고 싶은가?,,셋째 카드 활성 후 세 카드 전체 안착.,도착 — 변화 종이의 전후 상태 경계에 안착 | 세 장 외 정보 제거,생성영상,정지+카메라,ACT3-8_350s/21_Q21_x3cuts.png,일을 하며 어떤 변화를 남기고 싶은가?
ACT3-8,A6-06,6:12.62,6:17.48,4.86,이 세 문장이 있으면 다음 선택을 완벽하게 예측할 수 있는 것은 아닙니다.,,"세 카드 앞의 미래 일정표는 흐리게 두고, 확정 체크박스는 비워둠.",후퇴 — 세 기준이 예측 공식처럼 닫히지 않도록 주변 선택지까지 포함해 5% pull-back | 예측 성공 그래프 금지,생성영상,정지+카메라,ACT3-8_350s/21_Q21_x3cuts.png,이 세 문장이 있으면 다음 선택을 완벽하게 예측할 수 있는 것은 아닙니다.
ACT3-8,A6-07,6:17.48,6:22.32,4.84,다만 나에게 중요한 것을 놓치지 않고 선택지를 살펴볼 수 있습니다.,,세 카드와 채용공고를 같은 책상 위에 놓고 손이 항목별 대조.,관통 — 중요한 기준 3장과 여러 선택지를 차례로 비교하는 lateral track | 정답·추천 배지 금지,생성영상,정지+카메라,ACT3-8_350s/21_Q21_x3cuts.png,다만 나에게 중요한 것을 놓치지 않고 선택지를 살펴볼 수 있습니다.
ACT3-8,A6-08,6:22.32,6:25.28,2.96,이제 세 문장을 한 장으로 이어봅니다.,,세 카드가 한 장짜리 아이보리 결과지의 세 블록으로 물리 정렬.,도착 — 세 문장이 한 장 지면 실루엣으로 정렬되는 top-down 구도에 안착 | 아직 리포트 03/05/08 노출 금지,생성영상,정지+카메라,ACT3-8_350s/22_S22_x5cuts.png,이제 세 문장을 한 장으로 이어봅니다.
ACT3-8,A6-09,6:25.28,6:33.98,8.7,"오늘의 기록을 한 장짜리 결과물로 어떻게 정리하는지 보고 싶다면, 설명란에 있는 인생 포트폴리오 리포트 샘플을 확인해 보세요.",,한 장 결과지 옆 실제 브라우저 설명란을 상징하는 인쇄 노트 카드. 링크 위치만 컬러 바.,"후퇴 — 한 장 결과물과 실제 리포트 샘플 더미가 함께 보이도록 느린 3% pull-back, 본문 회색 바 | `전체 리포트 샘플` 금지; 가격 없음",생성영상,정지+카메라,ACT3-8_350s/22_S22_x5cuts.png,"오늘의 기록을 한 장짜리 결과물로 어떻게 정리하는지 보고 싶다면, 설명란에 있는 인생 포트폴리오 리포트 샘플을 확인해 보세요."
ACT3-8,A6-10,6:33.98,6:40.42,6.44,"경험 장면이 어떤 과정을 거쳐 역할, 기준, 다음 질문으로 연결되는지 먼저 살펴볼 수 있습니다.",,과거 폴더→역할 카드→방식 카드→변화 카드→면접 질문 노트를 실물 순서로 펼치고 카메라 후퇴.,관통 — 경험 장면 종이→역할·기준 종이→다음 질문 메모를 현실 책상 위로 순차 이동 | 연결 광선 금지; 물리 배열만,생성영상,생성영상,ACT3-8_350s/22_S22_x5cuts.png,"경험 장면이 어떤 과정을 거쳐 역할, 기준, 다음 질문으로 연결되는지 먼저 살펴볼 수 있습니다."
ACT3-8,A6-11,6:40.42,6:45.12,4.7,답을 새로 만들어내기보다 이미 살아온 삶에서 다음 방향을 발견해 보세요.,,실물 계보 전체와 빈 A4가 함께 보이는 사무실 책상. 후퇴 후 정지.,"후퇴 — 살아온 경험 전체 책상과 사무실 단면으로 5% pull-back, 결론 hold 8f | 405.12 이후 6초 무발화에 새 정보 금지",생성영상,정지+카메라,ACT3-8_350s/22_S22_x5cuts.png,답을 새로 만들어내기보다 이미 살아온 삶에서 다음 방향을 발견해 보세요.
ACT3-8,A6-GAP,6:45.12,6:51.20,6.08,무발화 실측 공백,,같은 큰 스틸을 유지하며 아주 느린 2.5D 후퇴. 손이 연필 가까이 이동하되 종이 3칸은 비어 있음.,"정지 — 직전 결론 whole에 1.0% 이하 숨쉬기 없는 pixel-safe hold/pull-back, 새 정보 0 | 정보 추가·선행 채움·새 패널 금지",정지+카메라,정지+카메라,ACT3-8_350s/22_S22_x5cuts.png,
ACT3-8,A7-01,6:51.20,6:54.96,3.76,이제 오늘 만든 세 기준을 종이에 직접 남겨보겠습니다.,,,도착 — 실제 빈 종이 한 장과 3개 비어 있는 회색 바 구획에 top-down 안착,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,이제 오늘 만든 세 기준을 종이에 직접 남겨보겠습니다.
